# Critical Pearson correlation for obtaining alpha significance of 0.01 with sample size of 13 is 0.683528
# Power analysis 
r	power
0.01	0.00630822
0.02	0.00639322
0.03	0.00653542
0.04	0.00673561
0.05	0.00699491
0.06	0.00731476
0.07	0.00769694
0.08	0.00814355
0.09	0.00865704
0.1	0.00924019
0.11	0.00989615
0.12	0.0106284
0.13	0.0114409
0.14	0.0123378
0.15	0.0133238
0.16	0.014404
0.17	0.0155837
0.18	0.016869
0.19	0.0182661
0.2	0.0197818
0.21	0.0214233
0.22	0.0231985
0.23	0.0251155
0.24	0.027183
0.25	0.0294104
0.26	0.0318075
0.27	0.0343846
0.28	0.0371527
0.29	0.0401232
0.3	0.0433084
0.31	0.0467209
0.32	0.0503741
0.33	0.054282
0.34	0.0584592
0.35	0.0629209
0.36	0.0676832
0.37	0.0727624
0.38	0.0781758
0.39	0.0839412
0.4	0.090077
0.41	0.0966022
0.42	0.103536
0.43	0.110899
0.44	0.118712
0.45	0.126996
0.46	0.135771
0.47	0.14506
0.48	0.154884
0.49	0.165265
0.5	0.176226
0.51	0.187787
0.52	0.199971
0.53	0.212797
0.54	0.226287
0.55	0.240458
0.56	0.255329
0.57	0.270917
0.58	0.287235
0.59	0.304295
0.6	0.322108
0.61	0.340678
0.62	0.360009
0.63	0.380099
0.64	0.400941
0.65	0.422524
0.66	0.44483
0.67	0.467832
0.68	0.4915
0.69	0.515791
0.7	0.540655
0.71	0.566031
0.72	0.591847
0.73	0.61802
0.74	0.644453
0.75	0.671038
0.76	0.69765
0.77	0.724152
0.78	0.750394
0.79	0.776212
0.8	0.801428
0.81	0.825855
0.82	0.849298
0.83	0.871557
0.84	0.892434
0.85	0.911733
0.86	0.929278
0.87	0.944912
0.88	0.958516
0.89	0.970014
0.9	0.979392
0.91	0.986708
0.92	0.992097
0.93	0.995781
0.94	0.998057
0.95	0.999276
0.96	0.999805
0.97	0.99997
0.98	0.999998
0.99	1
