threshold	vertex-count	edge-count	connected-component-count	density	density-orig-V	largest-cc-size	2nd-largest-cc-size	clustering-coefficient	random-clustering-coefficient	2nd-eigenvalue	almost-disconnected-component-count	maximal-clique-count	clique-number	poisson-chi2	poisson-pvalue	goe-chi2	goe-pvalue	scale-free-KS	scale-free-KS-p-value	scale-free-alpha
0.5	1000	72471	1	0.145087	0.145087	1000	0	nan	nan	9.72529	2	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.51	1000	67618	1	0.135371	0.135371	1000	0	nan	nan	9.66504	2	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.52	1000	63192	1	0.126511	0.126511	1000	0	nan	nan	7.72551	1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.53	1000	58895	1	0.117908	0.117908	1000	0	nan	nan	6.6672	2	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.54	1000	54741	1	0.109592	0.109592	1000	0	nan	nan	6.64382	2	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.55	1000	50769	1	0.10164	0.10164	1000	0	nan	nan	4.6657	2	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.56	1000	47009	1	0.0941121	0.0941121	1000	0	nan	nan	0.831577	2	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.57	1000	43435	1	0.086957	0.086957	1000	0	nan	nan	0.830043	2	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.58	1000	39994	1	0.0800681	0.0800681	1000	0	nan	nan	0.79748	1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.59	1000	36708	1	0.0734895	0.0734895	1000	0	nan	nan	0.795061	2	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.6	1000	33536	1	0.0671391	0.0671391	1000	0	nan	nan	0.680955	1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.61	1000	30619	1	0.0612993	0.0612993	1000	0	nan	nan	0.675679	2	-1	-1	nan	nan	nan	nan	nan	nan	nan
