threshold	vertex-count	edge-count	connected-component-count	density	density-orig-V	largest-cc-size	2nd-largest-cc-size	clustering-coefficient	random-clustering-coefficient	2nd-eigenvalue	almost-disconnected-component-count	maximal-clique-count	clique-number	poisson-chi2	poisson-pvalue	goe-chi2	goe-pvalue	scale-free-KS	scale-free-KS-p-value	scale-free-alpha
0.5	7052	34594	-1	0.00139145	0.00138164	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.51	7040	32302	-1	0.00130369	0.0012901	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.52	7025	30014	-1	0.00121653	0.00119872	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.53	7007	27955	-1	0.0011389	0.00111648	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.54	6989	25931	-1	0.00106189	0.00103565	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.55	6963	24067	-1	0.000992937	0.000961203	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.56	6919	22247	-1	0.00092956	0.000888514	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.57	6873	20543	-1	0.00086989	0.000820459	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.58	6810	18921	-1	0.0008161	0.000755678	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.59	6722	17427	-1	0.000771472	0.00069601	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.6	6639	15905	-1	0.000721811	0.000635224	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.61	6514	14532	-1	0.000685057	0.000580388	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.62	6365	13228	-1	0.000653124	0.000528308	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.63	6212	12037	-1	0.000623958	0.000480741	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.64	6046	10852	-1	0.000593848	0.000433414	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.65	5860	9748	-1	0.000567838	0.000389322	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.66	5641	8769	-1	0.000551245	0.000350222	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.67	5419	7863	-1	0.000535624	0.000314037	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.68	5166	6951	-1	0.000521018	0.000277613	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.69	4909	6138	-1	0.000509518	0.000245143	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.7	4608	5427	-1	0.00051128	0.000216747	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.71	4309	4792	-1	0.000516291	0.000191386	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.72	3988	4150	-1	0.000522007	0.000165745	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.73	3613	3563	-1	0.000546047	0.000142301	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.74	3291	3039	-1	0.000561354	0.000121373	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.75	2987	2597	-1	0.00058234	0.000103721	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.76	2687	2206	-1	0.00061131	8.81046e-05	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.77	2379	1849	-1	0.000653673	7.38465e-05	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.78	2089	1557	-1	0.00071392	6.21844e-05	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.79	1846	1308	-1	0.000768086	5.22397e-05	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.8	1534	1028	-1	0.00087429	4.10569e-05	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.81	1282	823	-1	0.00100229	3.28695e-05	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.82	1043	637	-1	0.00117224	2.54409e-05	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.83	848	502	-1	0.00139783	2.00492e-05	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.84	700	398	-1	0.00162681	1.58956e-05	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.85	523	290	-1	0.0021245	1.15822e-05	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.86	399	212	-1	0.00266999	8.46699e-06	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.87	283	147	-1	0.00368393	5.87098e-06	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.88	190	98	-1	0.00545809	3.91398e-06	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.89	119	61	-1	0.00868822	2.43626e-06	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.9	81	41	-1	0.0126543	1.63748e-06	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
