alpha	vertex-count	edge-count	mean-k	density	connected-component-count	largest-cc-size	2nd-largest-cc-size	2nd-eigenvalue	almost-disconnected-component-count
0	1000	259670	0.276912	0.51986	1	1000	0	371.418	8
0.1	1000	243747	0.294941	0.487982	1	1000	0	337.837	12
0.2	1000	227901	0.31297	0.456258	1	1000	0	305.164	16
0.3	1000	212225	0.330999	0.424875	1	1000	0	274.177	15
0.4	1000	196902	0.349028	0.394198	1	1000	0	245.631	10
0.5	1000	181891	0.367057	0.364146	1	1000	0	218.691	18
0.6	1000	167399	0.385086	0.335133	1	1000	0	193.853	19
0.7	1000	153286	0.403115	0.306879	1	1000	0	170.556	18
0.8	1000	139190	0.421144	0.278659	1	1000	0	148.496	24
0.9	1000	125852	0.439173	0.251956	1	1000	0	128.699	30
1	1000	112975	0.457202	0.226176	1	1000	0	110.788	27
1.1	1000	100661	0.475231	0.201524	1	1000	0	94.4891	22
1.2	1000	89036	0.49326	0.17825	1	1000	0	79.7771	18
1.3	1000	77958	0.511289	0.156072	1	1000	0	66.5936	20
1.4	1000	67782	0.529317	0.1357	1	1000	0	55.2799	20
1.5	1000	58472	0.547346	0.117061	1	1000	0	45.502	22
1.6	1000	49726	0.565375	0.0995516	1	1000	0	36.9124	23
1.7	1000	41768	0.583404	0.0836196	1	1000	0	29.3199	24
1.8	1000	34619	0.601433	0.0693073	1	1000	0	22.7243	15
1.9	1000	28254	0.619462	0.0565646	1	1000	0	17.1892	18
2	1000	22751	0.637491	0.0455475	1	1000	0	12.6872	5
2.1	1000	18052	0.65552	0.0361401	1	1000	0	9.05564	9
2.2	1000	14145	0.673549	0.0283183	1	1000	0	6.28803	5
2.3	1000	10964	0.691578	0.0219499	1	1000	0	2.83849	1
2.4	1000	8501	0.709607	0.017019	1	1000	0	0.897328	2
2.5	994	6531	0.727636	0.0132335	1	994	0	0.561859	1
2.6	974	5015	0.745665	0.0105835	1	974	0	0.2886	2
2.7	943	3819	0.763693	0.00859839	2	941	2	0.309355	1
2.8	885	2861	0.781722	0.00731396	5	877	2	0.116026	2
2.9	837	2149	0.799751	0.00614235	4	831	2	0.165599	2
3	758	1565	0.81778	0.00545481	9	742	2	0.0441584	1
3.1	693	1147	0.835809	0.00478359	22	646	4	0.0516556	1
3.2	579	785	0.853838	0.0046913	27	507	14	0.0209801	3
3.3	504	566	0.871867	0.00446527	35	408	9	0.00882236	5
3.4	419	399	0.889896	0.0045563	59	183	18	0.00241598	6
3.5	326	270	0.907925	0.00509674	72	42	28	0.0155268	1
3.6	246	179	0.925954	0.00593994	73	12	11	0.190138	1
3.7	186	121	0.943983	0.00703284	68	7	6	0.32172	1
3.8	131	83	0.962012	0.0097475	50	6	5	0.438447	1
3.9	101	60	0.980041	0.0118812	41	6	5	0.381966	1
4	76	43	0.998069	0.0150877	33	4	3	0.585786	1
