threshold	vertex-count	edge-count	connected-component-count	density	density-orig-V	largest-cc-size	2nd-largest-cc-size	clustering-coefficient	random-clustering-coefficient	2nd-eigenvalue	almost-disconnected-component-count	maximal-clique-count	clique-number	poisson-chi2	poisson-pvalue	goe-chi2	goe-pvalue	scale-free-KS	scale-free-KS-p-value	scale-free-alpha
0.5	1000	72471	-1	0.145087	0.145087	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.51	1000	67618	-1	0.135371	0.135371	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.52	1000	63192	-1	0.126511	0.126511	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.53	1000	58895	-1	0.117908	0.117908	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.54	1000	54741	-1	0.109592	0.109592	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.55	1000	50769	-1	0.10164	0.10164	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.56	1000	47009	-1	0.0941121	0.0941121	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.57	1000	43435	-1	0.086957	0.086957	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.58	1000	39994	-1	0.0800681	0.0800681	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.59	1000	36708	-1	0.0734895	0.0734895	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.6	1000	33536	-1	0.0671391	0.0671391	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.61	1000	30619	-1	0.0612993	0.0612993	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.62	999	27868	-1	0.0559036	0.0557918	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.63	998	25217	-1	0.0506871	0.0504845	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.64	998	22821	-1	0.0458711	0.0456877	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.65	998	20585	-1	0.0413766	0.0412112	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.66	996	18430	-1	0.037194	0.0368969	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.67	994	16424	-1	0.0332792	0.0328809	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.68	986	14546	-1	0.0299544	0.0291211	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.69	983	12927	-1	0.0267832	0.0258799	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.7	974	11314	-1	0.0238767	0.0226507	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.71	956	9849	-1	0.0215755	0.0197177	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.72	933	8547	-1	0.0196583	0.0171111	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.73	909	7325	-1	0.0177496	0.0146647	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.74	889	6233	-1	0.0157911	0.0124785	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.75	840	5286	-1	0.0150009	0.0105826	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.76	812	4422	-1	0.0134299	0.00885285	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.77	771	3646	-1	0.0122829	0.0072993	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.78	729	3008	-1	0.0113357	0.00602202	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.79	683	2437	-1	0.0104636	0.00487888	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.8	638	1953	-1	0.00961108	0.00390991	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.81	582	1509	-1	0.00892524	0.00302102	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.82	529	1182	-1	0.00846365	0.00236637	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.83	477	914	-1	0.00805102	0.00182983	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.84	417	688	-1	0.00793212	0.00137738	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
0.85	359	512	-1	0.00796751	0.00102503	-1	-1	nan	nan	nan	-1	-1	-1	nan	nan	nan	nan	nan	nan	nan
